query_id,question,gold_answer,generated_answer,answer_supported,recall_at_k,precision_at_k,num_relevant_chunks,num_citations,citation_precision,f1_score,exact_match,retrieval_ms,generation_ms,total_ms,top_k,retrieved_chunk_ids,retrieval_scores,error
cuad_0,Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the expiration date of this contract?,This agreement shall begin upon the date of its execution by MA and acceptance in writing by Company and shall remain in effect until the end of the current calendar year and shall be automatically renewed for successive one (1) year periods unless otherwise terminated according to the cancellation or termination provisions contained in paragraph 18 of this Agreement.,I don't have enough information to answer this question.,False,0.0,0.0,0,0,1.0,0.07407407407407407,0.0,5848.9837560046,2343.872736004414,14416.528263995133,5,"Capstead_Mortgage_Corp_Benefit_Street_Partners.pdf||Capstead_Mortgage_Corp_Benefit_Street_Partners_Amendment No.1_chunk_00380|Retail_Properties_of_America_Inc_Kite_Realty_Group_Trust_chunk_00552|Proofpoint, Inc._Thoma Bravo, L.P._chunk_00492|FLIR Systems, Inc._Teledyne Technologies Incorporated_chunk_00560|QTS Realty Trust, Inc._The Blackstone Group Inc._chunk_00586",0.6023|0.5717|0.5712|0.5697|0.5659,
cuad_1,Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the renewal term for this contract?,This agreement shall begin upon the date of its execution by MA and acceptance in writing by Company and shall remain in effect until the end of the current calendar year and shall be automatically renewed for successive one (1) year periods unless otherwise terminated according to the cancellation or termination provisions contained in paragraph 18 of this Agreement.,"I don't have enough information to answer this question. The provided context does not include details about the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc., specifically regarding the renewal term for this contract.",False,0.0,0.0,0,0,1.0,0.14634146341463417,0.0,16.6541500002495,1254.521864997514,1281.3772800000152,5,"Bank of Commerce Holdings_Columbia Banking System, Inc._chunk_00153|Nuance Communications, Inc._Microsoft Corporation_chunk_00079|Chiasma, Inc._Amryt Pharma plc_chunk_00249|Meredith Corporation_Gray Television, Inc..pdf||Meredith Corporation_Gray Television, Inc. Amendment No.1_chunk_00330|Premier Financial Bancorp, Inc._Peoples Bancorp Inc._chunk_00011",0.6023|0.6013|0.5897|0.5820|0.5809,
cuad_2,Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the notice period required to terminate the renewal?,This Agreement may be terminated by either party at the expiration of its term or any renewal term upon thirty (30) days written notice to the other party.,I don't have enough information to answer this question.,False,0.0,0.0,0,0,1.0,0.1142857142857143,0.0,20.983925998734776,613.2397249966743,645.3923899971414,5,Contango_Oil_&_Gas_KKR_&_Co_chunk_01734|Contango_Oil_&_Gas_KKR_&_Co_chunk_01725|Contango_Oil_&_Gas_KKR_&_Co_chunk_01724|Capstead_Mortgage_Corp_Benefit_Street_Partners.pdf||Capstead_Mortgage_Corp_Benefit_Street_Partners_Amendment No.1_chunk_00380|Contango_Oil_&_Gas_KKR_&_Co_chunk_01741,0.6515|0.6428|0.6315|0.6121|0.6121,
cuad_3,Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the governing law for this contract?,"This Agreement is accepted by Company in the State of Nevada and shall be governed by and construed in accordance with the laws thereof, which laws shall prevail in the event of any conflict.",I don't have enough information to answer this question.,False,0.0,0.0,0,0,1.0,0.058823529411764705,0.0,22.522462000779342,864.6395629984909,899.4513799989363,5,"QEP Resources, Inc._Diamondback Energy, Inc._chunk_00612|Parsley Energy, Inc._Pioneer Natural Resources Company_chunk_00770|Foundation Building Materials, Inc._American Securities LLC_chunk_00423|Foundation Building Materials, Inc._American Securities LLC_chunk_00190|Bank of Commerce Holdings_Columbia Banking System, Inc._chunk_00153",0.6478|0.6399|0.6304|0.6284|0.6190,
cuad_4,Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; Is there an anti-assignment clause in this contract?,"MA may not assign, sell, lease or otherwise transfer in whole or in party any of the rights granted pursuant to this Agreement without prior written approval of Company.",I don't have enough information to answer this question.,False,0.0,0.0,0,0,1.0,0.1142857142857143,0.0,20.65581499482505,593.7531839954318,625.1545539998915,5,"QEP Resources, Inc._Diamondback Energy, Inc._chunk_00612|Parsley Energy, Inc._Pioneer Natural Resources Company_chunk_00770|Anworth Mortgage Asset Corporation_Ready Capital Corporation_chunk_00547|Zix_Corporation_Open_Text_Corporation_chunk_00684|Parsley Energy, Inc._Pioneer Natural Resources Company_chunk_00247",0.6320|0.6274|0.6240|0.6023|0.5997,
cuad_5,Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; Is there a minimum commitment required under this contract?,INITIAL ORDER COMMITMENT - MA commits to purchase a minimum of 100 Units in aggregate within the Territory within the first six months of term of this Agreement.,I don't have enough information to answer this question.,False,0.0,0.0,0,0,1.0,0.12121212121212122,0.0,21.56245699734427,801.4325120020658,844.6968089992879,5,"FLIR Systems, Inc._Teledyne Technologies Incorporated_chunk_00506|American_Renal_Associates_Holdings_IRC_Superman_Midco_chunk_00492|Parsley Energy, Inc._Pioneer Natural Resources Company_chunk_00247|Bryn Mawr Bank Corporation_WSFS Financial Corporation_chunk_00518|Foundation Building Materials, Inc._American Securities LLC_chunk_00423",0.5914|0.5768|0.5580|0.5368|0.5334,
cuad_6,Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What licenses are granted under this contract?,"Subject to the terms and conditions of this Agreement, Company hereby grants to MA the right to advertise, market and sell to corporate users, government agencies and educational facilities (""Clients"") for their own internal language learning, soft skills and communication purposes only, and not for remarketing or redistribution, and not for use in a data center environment for multiple users Clients, unless otherwise agreed to by Company prior in writing, the Technology listed in Schedule A of this Agreement, and to sell and/or bundle Technology Maintenance for the Technology and to provide first line technical support and implementation services for the Technology in the territories listed in Schedule A of this Agreement, providing MA meets the criteria required for delivering services according to Schedule A. [SEP] Company hereby grants MA, during the term of this Agreement, the right to use Company and/or Company trade names, trademarks or service marks on Technology or in advertising or promotion relating directly to these products. [SEP] MA is authorized to resell Technology within the following territory according to the terms of the Agreement:

Worldwide",I don't have enough information to answer this question.,False,0.0,0.0,0,0,1.0,0.03703703703703704,0.0,16.52781500160927,1111.2188510014676,1137.543644006655,5,"National General Holdings Corp._The Allstate Corporation_chunk_00179|Cornerstone_OnDemand_Clearlake_Capital_Group_L_P_chunk_00108|Adamas_Pharmaceuticals_Supernus_Pharmaceuticals_chunk_00210|Forterra, Inc._Quikrete Holdings, Inc._chunk_00178|QAD Inc._Thoma Bravo, L.P._chunk_00258",0.6063|0.5968|0.5938|0.5823|0.5782,
cuad_7,Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What are the audit rights under this contract?,"MA shall keep accurate records of the sales of the Technology and Maintenance, including Client Registration Cards and shall make these records available for review by a representative of Company within ten (10) business days following the end of each month.",I don't have enough information to answer this question.,False,0.0,0.0,0,0,1.0,0.0,0.0,25.122277002083138,648.7902610024321,686.7232939985115,5,"PPD, Inc._Thermo Fisher Scientific Inc._chunk_00003|Weingarten Realty Investors_Kimco Realty Corporation_chunk_00541|Cornerstone_OnDemand_Clearlake_Capital_Group_L_P_chunk_00193|W_R_Grace_Co_40_North_Management_LLC_chunk_00105|GenMark Diagnostics, Inc._Roche Holding Ltd_chunk_00137",0.5784|0.5729|0.5718|0.5693|0.5692,
cuad_8,Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; Is there a cap on liability under this contract?,"Company is not liable for incidental, special or consequential damages for any reason (including loss of data or other business or property damage), even if foreseeable or if MA or Customer has advised of such a claim. Company's liability shall not exceed the fees that MA has paid under this Agreement. [SEP] The foregoing states the entire liability of Company with respect to infringement of intellectual property rights. [SEP] COMPANY'S SOLE AND EXCLUSIVE LIABILITY FOR THE WARRANTY PROVIDED IN SUBPARAGRAH (A) HEREOF SHALL BE TO CORRECT THE TECHNOLOGY TO OPERATE IN SUBSTANTIAL ACCORDANCE WITH ITS THEN CURRENT SPECIFICATIONS OR REPLACE, AT ITS OPTION, THE TECHNOLOGY NOT IN COMPLIANCE WITH COMPANY'S AND COMPANY' PUBLISHED SPECIFICATIONS REGARDING THE TECHNOLOGY; PROVIDED, ANY CLAIM FOR BREACH OF WARRANTY UNDER SUBPARAGRAPH (A) HEREOF MUST BE MADE IN WRITING WITHIN (90) DAYS FROM DATE OF SHIPMENT [SEP] IN NO EVENT SHALL COMPANY BE LIABLE TO ""MA"", ITS CLIENTS, OR ANY THIRD PARTY FOR ANY TORT OR CONTRACT DAMAGES OR INDIRECT, SPECIAL, GENERAL, INCIDENTAL OR CONSEQUENTIAL DAMAGES, INCLUDING BUT NOT LIMITED TO, LOSS OF PROFITS OR ANTICIPATED PROFITS AND LOSS OF GOODWILL, ARISING IN CONNECTION WITH THE USE (OR INABILITY TO USE) OR DISTRIBUTION OF THE TECHNOLOGY FOR ANY PURPOSE WHATSOEVER.","I don't have enough information to answer this question. The provided context does not mention a Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc., nor does it provide details about any cap on liability under such a contract.",False,0.0,0.0,0,0,1.0,0.13580246913580246,0.0,20.666261996666435,1041.0051420039963,1074.3466090061702,5,"QTS Realty Trust, Inc._The Blackstone Group Inc._chunk_00657|QEP Resources, Inc._Diamondback Energy, Inc._chunk_00612|Lonestar_Resources_US_Inc_Penn_Virginia_Corporation_chunk_00917|American_Renal_Associates_Holdings_IRC_Superman_Midco_chunk_00566|First Choice Bancorp_Enterprise Financial Services Corp_chunk_00617",0.6027|0.5684|0.5673|0.5655|0.5643,
cuad_9,Consider the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc.; What is the duration of any warranties provided in this contract?,"COMPANY'S SOLE AND EXCLUSIVE LIABILITY FOR THE WARRANTY PROVIDED IN SUBPARAGRAH (A) HEREOF SHALL BE TO CORRECT THE TECHNOLOGY TO OPERATE IN SUBSTANTIAL ACCORDANCE WITH ITS THEN CURRENT SPECIFICATIONS OR REPLACE, AT ITS OPTION, THE TECHNOLOGY NOT IN COMPLIANCE WITH COMPANY'S AND COMPANY' PUBLISHED SPECIFICATIONS REGARDING THE TECHNOLOGY; PROVIDED, ANY CLAIM FOR BREACH OF WARRANTY UNDER SUBPARAGRAPH (A) HEREOF MUST BE MADE IN WRITING WITHIN (90) DAYS FROM DATE OF SHIPMENT.","I don't have enough information to answer this question. The provided context does not include details about the Marketing Affiliate Agreement between Birch First Global Investments Inc. and Mount Knowledge Holdings Inc., nor does it mention the duration of any warranties provided in that contract.",False,0.0,0.0,0,0,1.0,0.17204301075268819,0.0,70.80795499496162,1020.9244659999968,1116.6964990043198,5,"Iconix_Brand_Group_Lancer Capital_chunk_00498|Telenav, Inc._Management Led Buyout.pdf||Telenav, Inc._Management Led Buyout Amendment No. 1_chunk_00468|New_Home_Co_Apollo_Global_Management_chunk_00366|QEP Resources, Inc._Diamondback Energy, Inc._chunk_00268|Forterra, Inc._Quikrete Holdings, Inc._chunk_00078",0.5740|0.5683|0.5649|0.5626|0.5622,
